Дата,Объем_продаж,Цена_за_тонну,Канал_продаж,Сезон,Акции,Регион,Тип_покупателя
2023-02-01,36.0,12420,почта,зима,0,Сибирский,розница
2023-02-02,29.5,12433,бот,зима,0,Сибирский,розница
2023-02-03,30.7,12432,бот,зима,1,Уральский,опт
2023-02-04,30.7,12868,почта,зима,1,Южный,опт
2023-02-05,28.6,13821,почта,зима,0,Южный,розница
2023-02-06,30.2,12097,бот,зима,0,Уральский,опт
2023-02-07,28.1,12843,почта,зима,1,Уральский,розница
2023-02-08,29.1,12551,почта,зима,1,Сибирский,розница
2023-02-09,25.9,14028,почта,зима,1,Центральный,розница
2023-02-10,32.1,13110,почта,зима,0,Центральный,розница
2023-02-11,34.5,12893,бот,зима,0,Сибирский,опт
2023-02-12,32.9,14795,бот,зима,1,Уральский,розница
2023-02-13,32.8,14253,бот,зима,0,Центральный,розница
2023-02-14,28.4,14476,почта,зима,1,Центральный,розница
2023-02-15,30.3,13540,бот,зима,0,Сибирский,опт
2023-02-16,36.5,13491,бот,зима,1,Сибирский,розница
2023-02-17,26.0,14987,почта,зима,0,Уральский,опт
2023-02-18,33.5,13234,почта,зима,0,Южный,опт
2023-02-19,30.7,13565,почта,зима,1,Сибирский,розница
2023-02-20,37.4,13267,бот,зима,1,Южный,опт
2023-02-21,35.8,14245,бот,зима,1,Сибирский,опт
2023-02-22,35.7,12901,бот,зима,1,Центральный,опт
2023-02-23,34.1,14191,почта,зима,0,Центральный,розница
2023-02-24,28.3,13601,почта,зима,1,Уральский,розница
2023-02-25,28.2,12965,почта,зима,0,Центральный,розница
2023-02-26,31.0,13076,бот,зима,0,Сибирский,розница
2023-02-27,35.4,12095,почта,зима,0,Южный,опт
2023-02-28,34.1,12064,почта,зима,0,Южный,розница
2023-03-01,30.3,14123,почта,весна,1,Южный,опт
2023-03-02,35.6,13427,бот,весна,0,Южный,розница
2023-03-03,34.8,12909,почта,весна,1,Южный,опт
2023-03-04,34.1,14774,почта,весна,0,Центральный,розница
2023-03-05,36.1,12302,бот,весна,0,Южный,розница
2023-03-06,33.4,12451,бот,весна,0,Южный,розница
2023-03-07,30.5,13068,бот,весна,1,Южный,опт
2023-03-08,37.9,13555,бот,весна,1,Южный,розница
2023-03-09,28.8,13447,бот,весна,0,Уральский,опт
2023-03-10,32.3,12447,бот,весна,1,Сибирский,розница
2023-03-11,32.2,14852,почта,весна,1,Сибирский,розница
2023-03-12,32.2,14731,почта,весна,1,Центральный,розница
2023-03-13,30.4,12454,бот,весна,1,Южный,опт
2023-03-14,30.0,14446,бот,весна,1,Южный,опт
2023-03-15,33.3,12451,бот,весна,1,Центральный,розница
2023-03-16,33.5,12694,бот,весна,1,Сибирский,розница
2023-03-17,29.2,12537,бот,весна,1,Уральский,опт
2023-03-18,36.8,14959,почта,весна,1,Уральский,розница
2023-03-19,34.6,14808,бот,весна,0,Южный,розница
2023-03-20,34.1,14970,почта,весна,1,Центральный,розница
2023-03-21,27.2,12368,почта,весна,0,Уральский,опт
2023-03-22,34.1,12514,почта,весна,0,Южный,розница
2023-03-23,37.1,14040,бот,весна,1,Южный,опт
2023-03-24,32.5,14965,почта,весна,1,Южный,опт
2023-03-25,37.0,14398,бот,весна,0,Центральный,опт
2023-03-26,29.1,14915,почта,весна,0,Южный,розница
2023-03-27,35.7,12121,почта,весна,1,Сибирский,розница
2023-03-28,28.1,12667,почта,весна,1,Сибирский,розница
2023-03-29,36.8,12212,бот,весна,0,Сибирский,розница
2023-03-30,33.3,13752,почта,весна,0,Сибирский,опт
2023-03-31,35.2,14143,бот,весна,0,Сибирский,опт
2023-04-01,35.4,12945,бот,весна,1,Сибирский,розница
2023-04-02,30.7,13224,бот,весна,1,Уральский,розница
2023-04-03,33.3,14237,почта,весна,1,Центральный,опт
2023-04-04,35.9,14565,почта,весна,0,Центральный,опт
